country,date,lead_id,reason_forgot,reason_tried_cancel,reason_did_not_cancel,reason_problem_branch,reason_problem_cs,reason_no_info,reason_late,reason_no_docs,reason_car_not_running,reason_car_deregistered,reason_not_found_branch,reason_duplication,reason_appt_took_place,reason_other
DE,"2026-05-13",XW79529,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-13",YE43693,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-13",PX57141,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-13",FP56433,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-13",XL98084,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-13",GG63466,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-14",FX10011,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-14",KS15433,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-14",WM69285,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-14",UT04925,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-14",GJ81805,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-14",NR30174,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-14",PD51127,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-14",GD72518,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-14",YJ26056,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-14",RS74404,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-14",WS25675,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-14",EJ40084,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE,"2026-05-15",UH49202,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-15",EB31673,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-15",DL61744,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-15",VK55840,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-15",SB23790,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-15",YV81980,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-15",NV18274,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-16",WG93224,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-16",CH12563,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-16",BW00867,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-16",LW04176,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-16",UU90569,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-18",UZ30319,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DE,"2026-05-18",WV69407,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-18",PE99457,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-18",JF87728,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-18",VS10189,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-18",NG93372,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-18",UA37775,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-18",SU33033,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-18",AP50549,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-18",KM36137,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-18",JF21198,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-18",PX22953,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-18",AY35480,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-19",GT88304,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-19",KZ92560,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-19",VZ09438,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-19",JA67675,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-19",VT32947,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DE,"2026-05-19",SH73414,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,"2026-05-19",SM28051,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DE,"2026-05-19",WY69111,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DE,"2026-05-19",ZP48505,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-19",RV81083,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-19",TG02718,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-19",NS55874,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE,"2026-05-19",UP27863,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-19",UZ33715,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-19",PV15498,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-19",UN38509,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-19",AM15259,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-19",SC46613,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,"2026-05-19",EX79201,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE,"2026-05-19",DS41786,0,0,0,1,0,0,0,0,0,0,0,0,0,0
